86.00,0.40,0.38,0.42
85.00,0.40,0.39,0.42
88.00,0.35,0.37,0.40
92.00,0.40,0.36,0.38
89.00,0.33,0.37,0.38
85.00,0.39,0.39,0.37
85.00,0.34,0.39,0.36
89.00,0.37,0.37,0.37
92.00,0.29,0.36,0.36
93.00,0.32,0.35,0.33
94.00,0.33,0.35,0.31
86.00,0.38,0.38,0.33
91.00,0.43,0.36,0.36
78.00,0.47,0.42,0.41
78.00,0.50,0.42,0.45
72.00,0.46,0.46,0.49
67.00,0.46,0.49,0.48
73.00,0.47,0.45,0.46
72.00,0.44,0.46,0.47
79.00,0.29,0.42,0.46
88.00,0.39,0.37,0.37
88.00,0.36,0.37,0.34
87.00,0.45,0.38,0.38
90.00,0.36,0.36,0.41
88.00,0.32,0.37,0.40
90.00,0.36,0.36,0.34
92.00,0.36,0.36,0.34
85.00,0.33,0.39,0.36
92.00,0.24,0.36,0.35
94.00,0.24,0.35,0.29
98.00,0.34,0.33,0.25
93.00,0.34,0.35,0.29
87.00,0.43,0.38,0.34
85.00,0.41,0.39,0.39
81.00,0.32,0.40,0.42
89.00,0.37,0.37,0.37
88.00,0.33,0.37,0.35
95.00,0.31,0.35,0.35
97.00,0.35,0.34,0.32
90.00,0.34,0.36,0.33
88.00,0.33,0.37,0.35
92.00,0.33,0.36,0.34
92.00,0.32,0.36,0.33
93.00,0.27,0.35,0.32
93.00,0.33,0.35,0.30
93.00,0.39,0.35,0.30
91.00,0.27,0.36,0.36
99.00,0.30,0.33,0.33
93.00,0.35,0.35,0.29
91.00,0.34,0.36,0.33
89.00,0.37,0.37,0.35
93.00,0.41,0.35,0.36
84.00,0.27,0.39,0.39
91.00,0.30,0.36,0.35
96.00,0.31,0.34,0.29
95.00,0.32,0.35,0.31
86.00,0.34,0.38,0.32
88.00,0.43,0.37,0.33
87.00,0.41,0.38,0.39
91.00,0.32,0.36,0.43
86.00,0.43,0.38,0.37
88.00,0.33,0.37,0.38
86.00,0.43,0.38,0.38
90.00,0.30,0.36,0.38
87.00,0.40,0.38,0.37
90.00,0.42,0.36,0.35
82.00,0.33,0.40,0.42
87.00,0.31,0.38,0.38
91.00,0.44,0.36,0.32
85.00,0.38,0.39,0.38
81.00,0.35,0.40,0.41
86.00,0.48,0.38,0.36
85.00,0.41,0.39,0.42
79.00,0.49,0.42,0.45
77.00,0.34,0.43,0.45
84.00,0.38,0.39,0.42
82.00,0.41,0.40,0.36
82.00,0.41,0.40,0.40
89.00,0.38,0.37,0.42
84.00,0.37,0.39,0.40
87.00,0.32,0.38,0.38
88.00,0.39,0.37,0.35
89.00,0.33,0.37,0.36
93.00,0.38,0.35,0.36
81.00,0.37,0.40,0.35
86.00,0.42,0.38,0.38
80.00,0.41,0.41,0.40
84.00,0.44,0.39,0.42
82.00,0.35,0.40,0.43
81.00,0.49,0.40,0.40
76.00,0.38,0.43,0.43
80.00,0.34,0.41,0.44
91.00,0.35,0.36,0.36
